id,height,location_name,mountain_range
696,400,Lubatowa ,2
697,516,Lubawka ,3
698,330,Lubiechowa ,3
699,346,Lubień ,1
700,968,Lubogoszcz  ,1
701,360,Lubomierz ,3
702,556,Lubomierz ,1
703,480,Lubomir ,3
704,904,Lubomir ,1
705,470,Ludwikowice Kłodzkie ,3
706,599,Ludźmierz ,1
707,481,Ług ,2
708,561,Ługowina ,3
709,456,Łukowica ,1
710,570,Łupków ,2
711,324,Lutomia Górna ,3
712,620,Lutowiska ,2
713,378,Łysa Góra ,1
714,781,Łysa Góra  ,1
715,502,Łysa Góra / Prz.Panczakiewicza ,1
716,970,Lysá Poľana / Łysa Polana ,0
717,694,Łysica ,1
718,891,Łysina ,1
719,1188,Łysocina ,3
720,800,Macelak ,1
721,842,Maciejowa ,1
722,737,Magelin Grun ,2
723,1073,Magura  ,1
724,813,Magura Małastowska ,2
725,719,Magura Małastowska schronisko ,2
726,1020,Magura ruiny schroniska ,1
727,974,Magura Stuposiańska /pod Przysłupem Caryńskim ,2
728,812,Magura Wątkowska ,2
729,1233,Magura Witowska  ,0
730,872,Magurka nad Suchą  ,1
731,1091,Magurka Radziechowska ,1
732,1129,Magurka Wiślańska ,1
733,590,Majdan ,2
734,358,Maków Podhalański ,1
735,948,Makowica ,1
736,1517,Mała Babia Góra / Cyl ,1
737,866,Mała Czantoria ,1
738,925,Mała Rawka ,2
739,1272,Mała Rawka ,2
740,351,Mała Tresna ,1
741,1117,Malinów ,1
742,1152,Malinowska Skała  ,1
743,1086,Malinowska Skała - łącznik południowy ,1
744,1070,Malinowska Skała - łącznik zachodni ,1
745,2096,Małołączniak ,0
746,837,Mały Stożek ,1
747,570,Maniów ,2
748,839,Marcinków - Skowronia Góra ,3
749,272,Marcinkowice ,1
750,420,Marciszów ,3
751,370,Marczyce ,3
752,519,Marianówka ,3
753,718,Markowa ,1
754,1180,Markowe Szczawiny ,1
755,345,Marmurowa Dolina ,3
756,740,Maruszyna ,0
757,680,Marysin ,3
758,748,Maślana Góra ,2
759,925,Matliary pri tenise /  Matlary przy korcie tenis ,0
760,389,Męcina ,1
761,1169,Mędralowa  ,1
762,1084,Mędralowa Zachodnia ,1
763,440,Michałkowa ,3
764,670,Michałowice ,3
765,334,Międzybrodzie Bialskie ,1
766,380,Międzybrodzie Żywieckie ,1
767,646,Miedzygórze ,3
768,716,Miejska Góra ,1
769,606,Miejska Górka ,3
770,490,Mieroszów ,3
771,665,Mieroszowskie Ściany ,3
772,360,Mikuszowice ,1
773,370,Mikuszowice PKP ,1
774,446,Milówka ,1
775,610,Mioduszyna ,1
776,360,Mirsk ,3
777,410,Misiorka ,1
778,1270,Miziowa ,1
779,872,Młada Hora ,1
780,895,Młada Hora  ,1
781,777,Młyńsko ,3
782,704,Mniszek ,3
783,620,Mochnaczka Niżna ,1
784,997,Moczarki  ,1
785,455,Modliszów ,3
786,350,Modrzewie ,3
787,1028,Modyń  ,1
788,1171,Mogielica ,1
789,478,Mogiła ,1
790,1300,Mokra Przełęcz ,3
791,930,Monkova dolina / Dolina Mąkowa ,0
792,360,Morochów ,2
793,480,Moszczaniec ,2
794,460,Moszczenica Wyżna ,1
795,746,Moszna ,3
796,816,Mraźnica ,1
797,610,Mrokowce ,1
798,454,Mrowiec ,3
799,360,Mrukowa ,2
800,394,Mszana Dolna ,1
801,380,Muchów ,3
802,720,Muczne ,2
803,1165,Muńcuł  ,1
804,941,Murowanica ,0
805,280,Muszkowice ,3
806,450,Muszyna Rynek ,1
807,630,Muszynka ,1
808,770,Mútňanská Píla ,1
809,830,Mútne ,1
810,480,Myczków ,2
811,390,Mysłakowice ,3
812,300,Myślenice ,1
813,320,Myślenice Zarabie ,1
814,1352,Myślenickie Turnie  ,0
815,270,Myślibórz ,3
816,360,Myślinów ,3
817,450,Mysłów ,3
818,579,Na Opalonym ,2
819,940,Na Pięciu Drogach ,1
820,1455,Nad Bielym Váhom / Nad Białym Wagiem ,0
821,1240,Nad Bytom ,0
822,740,Nad Czatożą ,1
823,1208,Nad Dlhým vodopádom / Nad Długim Wodospadem ,0
824,830,nad Pietraszonką ,1
825,780,Nad Przesieką ,3
826,657,nad Przysłupem ,2
827,1080,Nad Wysokim Mostem ,3
828,1620,Nad Žabím potokom / Nad Żabim Potokiem Mięguszow ,0
829,1390,Nad Zrubami / Nad Tatrzańskimi Zrębami ,0
830,480,Nagórnik ,3
831,550,Naprawa ,1
832,849,Narożnik ,3
833,360,Nawojowa ,1
834,952,Nędzówka ,0
835,545,Niedzica - zamek ,1
836,629,Niedźwiadki ,3
837,495,Niedźwiedź ,1
838,1001,Niemcowa ,1
839,200,Niemcza ,3
840,320,Nierodzim ,1
841,210,Nieszkowice ,3
842,450,Nieznajowa / chatka ,2
843,945,Nižná lúka / Niżnia Łąka ,0
844,1560,Nižná Velická poľana / Niżnia Wielicka Polana ,0
845,905,Nižné Hágy / Niżnie Hagi ,0
846,1675,Nižné Temnosmrečinské pleso / Niżni Ciemnosmrecz ,0
847,1130,Niżnia Kominiarska Polana ,0
848,1206,Nosal  ,0
849,1101,Nosalowa Przełęcz  ,0
850,605,Nowa Biała ,1
851,370,Nowa Bielawa ,3
852,840,Nowa Polana  ,1
853,420,Nowa Ruda ,3
854,370,Nowa Wieś ,2
855,250,Nowa Wieś Grodziska ,3
856,462,Nowa Wieś Kłodzka ,3
857,440,Nowe Bogaczowice ,3
858,828,Nowe Bystre ,0
859,590,Nowy Łupków ,2
860,300,Nowy Sącz PKP ,1
861,620,Nowy Świat ,1
862,655,Nowy Targ - Kowaniec ,1
863,520,Nowy Targ - Kowaniec poczta ,1
864,583,Nowy Targ - szpital ,1
865,280,Nowy Wiśnicz ,1
866,310,Nowy Żmigród ,2
867,590,Nýdek - Gora ,1
868,400,Nýdek - restaurace Nydecanka / Nydek - restaurac ,1
869,769,Obidowa ,1
870,812,Obidowa - PKS Rdzawka II ,1
871,1106,Obidowiec  ,1
872,931,Obidza ,1
873,1090,obniżenie za Łysociną ,3
874,519,Ochabiska ,2
875,469,Ochotnica Dolna ,1
876,618,Ochotnica Górna ,1
877,510,Ochotnica Ośrodek Zdrowia ,1
878,360,Oczków ,1
879,1236,Odrodzenie schronisko ,3
880,805,Ogorzała ,1
881,610,Ogorzelec ,3
882,714,Okole ,3
883,760,okopy Konfederatów Barskich ,1
884,1101,Okrąglik ,2
885,460,Okrzeszyn ,3
886,430,Olchowiec ,2
887,1063,Olczyska Polana ,0
888,445,Olszak ,3
889,280,Olszowa ,1
890,495,Olszówka ,1
891,361,Olszówka Dolna - MZK Cygański Las ,1
892,498,Olszówka Górna - MZK Szyndzielnia ,1
893,440,Olszówka Górna - parking ,1
894,790,Oravice / Orawice ,0
895,810,Oravské Veselé / Orawskie Wesołe ,1
896,676,Orawka ,1
897,870,Orle schronisko ,3
898,518,Orli Kamień ,2
899,1084,Orlica ,3
900,590,Orlica schronisko ,1
901,813,Orłowa ,1
902,500,Orłowiec ,3
903,1867,Ornak  ,0
904,840,Orzeł schronisko ,3
905,580,Osiedle Piątkowa ,1
906,422,Osielec ,1
907,780,Ostra  ,1
908,753,Ostra / Wilcze Doły ,1
909,360,Ostra Góra ,3
910,459,Ostra Góra  ,1
911,627,Ostróg ,3
912,897,Ostry Wierch ,2
913,490,Ostrysz ,1
914,567,Ostrysz ,2
915,310,Owiesno ,3
916,510,Ożenna ,2
917,230,Paczków ,3
918,700,Paczyn ,3
919,610,Padovy ,1
920,934,Pająków Wierch  ,1
921,400,Palcza ,1
922,672,Palenica ,1
923,720,Palenica  ,1
924,990,Palenica Białczańska ,0
925,390,Palmiarnia ,3
926,1550,Pańszczycki Potok ,0
927,645,Paproć  ,1
928,1150,Parichvost / Parzychwost ,0
929,1320,Partizánska nemocnica ,0
930,540,Paseky ,1
931,480,Pasierbiec ,1
932,700,Pasterka schronisko ,3
933,630,Pastewnik - Przełęcz pod Długotką ,3
934,460,Paszyn ,1
935,763,Patryja ,1
936,340,Pcim ,1
937,1260,Petrovka ,3
938,350,Piątkowa ,1
939,715,Piątkowa  ,1
940,400,Piechowice ,3
941,650,Pielgrzym ,3
942,1204,Pielgrzymy ,3
943,963,Pieskowy Wierch  ,1
944,310,Pietrzyków ,3
945,280,Piława Dolna ,3
946,300,Piława Górna ,3
947,290,Pilchowice-Zapora PKP ,3
948,786,Piłka ,1
949,1540,Pilsko ,1
950,728,Piotruś ,2
951,500,Pisarzowa ,1
952,510,Pisarzowice ,3
953,460,Písečná / Pioseczna ,1
954,370,Piwniczna Zdrój ,1
955,777,Płoniec ,3
956,480,Płonina ,3
957,360,Płoszczyna ,3
958,817,Płoszczyna ,3
959,430,Płoszczynka ,3
960,440,Pobiedna ,3
961,885,Pocak - cm.woj.1915 ,2
962,830,Pod chatou Čantoryje ,1
963,1450,Pod Furkotskou dolinou / Pod Doliną Furkotną ,0
964,480,Pod Gruszką ,2
965,1180,pod Halą Lipowską ,1
966,910,Pod Holým vrchom / pod Gołym Wierchem ,0
967,400,Pod Jahodnou / Pod Jagodną ,1
968,1450,Pod Klinom / Pod Klinem ,0
969,1015,Pod Lyscom / rozdroże pod Łyścem ,0
970,525,Pod Malým Ostrým / Pod Małym Ostrym ,1
971,690,Pod Muflonem ,3
972,950,pod Oszusem ,1
973,2120,Pod Poľským hrebeňom / Pod Polskim Grzebieniem ,0
974,1465,Pod Predným zeleným ,0
975,430,pod Przednią Kopą ,3
976,890,pod Przełęczą Bory Orawskie ,1
977,1040,pod Skrzycznem ,1
978,1357,Pod Slavkovským štítom / Pod Sławkowskim Szczyte ,0
979,1305,Pod Smrekom ,0
980,1665,pod Suchą Przehybą ,0
981,1700,Pod Suchým vrchom / Pod Suchym Wierchem Batyżowi ,0
982,1490,Pod Temnými smrečinami / Rozdroże w Ciemnych Smr ,0
983,290,Pod Wieżycą schronisko ,3
984,1062,pod Wysoką Kopą ,3
985,930,Podbanské ,0
986,605,Podgórze ,3
987,440,Podgórzyn Górny ,3
988,500,Podlas ,1
989,230,Podlesie ,3
990,460,Podlesie ,3
991,570,Podlesie ,1
992,780,Podszkle ,1
993,365,Pogorzała ,3
994,328,Pokrzywna ,3
995,440,Polana ,2
996,1067,Polana ,3
997,922,Polana Biały Potok ,0
998,523,Polana Dębowiec ,1
999,1270,Polana Gabrowska  ,1
1000,810,Polana Gronie ,1
1001,989,Polana Huciska ,0
1002,940,Polana Izerska ,3
1003,800,Polana Jakuszycka TPG ,3
1004,822,Polana Kosarzyska  ,1
1005,720,Polana Mniszkowska ,3
1006,1030,Polana Morgi ,1
1007,651,Polana nad Kątami ,2
1008,1030,Polana Pisana ,0
1009,1260,Polana pod Wołoszynem ,0
1010,1428,Polana Stoły  ,0
1011,1040,Polana Strążyska ,0
1012,1080,Polana Trzydniówka ,0
1013,1012,Polana Wały  ,1
1014,680,Polana Wymiarki ,1
1015,530,Polana z Dębem ,3
1016,800,Polanka ,3
1017,806,Polanka ,3
1018,1396,Polica  ,1
1019,712,Policzne ,1
1020,1297,Połonina Caryńska ,2
1021,1255,Połonina Wetlińska ,2
1022,582,Półrzeczki ,1
1023,2200,Polski Grzebień ,0
1024,380,Pomocne ,3
1025,400,Poniatów ,3
1026,390,Ponikiew ,1
1027,440,Poniwiec ,1
1028,1510,Popradzki Staw ,0
1029,410,Poręba ,1
1030,631,Poręba Górna ,1
1031,360,Poręba Mała ,1
1032,530,Poręba Wielka ,1
1033,610,Poręba Wielka Koninki ,1
1034,618,Poręba Wysoka ,2
1035,731,Poronin ,0
1036,610,Pośródka ,3
1037,745,Potaczkowa ,1
1038,883,Potrójna ,1
1039,480,Powroźnik ,1
1040,542,Prašivá Hora / Góra Praszywa ,1
1041,2117,Predné Solisko / Skrajne Solisko ,0
1042,270,Proboszczów ,3
1043,260,Prudnik ,3
1044,270,Prudnik Park Miejski ,3
1045,450,Przecznica ,3
1046,503,Przednia Kopa ,3
1047,663,Przegibek ,1
1048,550,Przełączka ,3
1049,740,Przełączka 740 ,3
1050,1160,Przełęcz 1160 m / Przełęcz Goprowska ,2
1051,660,Przełęcz 660 ,3
1052,590,Przełęcz Beskid Nad Ożenną ,2
1053,1310,Przełęcz Białego ,0
1054,438,Przełęcz Biedaszowska ,1
1055,1009,Przełęcz Borek  ,1
1056,709,Przełęcz Bory  ,1
1057,930,Przełęcz Bory Orawskie ,1
1058,1408,Przełęcz Brona ,1
1059,993,Przełęcz Bukowina ,1
1060,668,Przełęcz Bukowska ,1
1061,1107,Przełęcz Bukowska ,2
1062,571,Przełęcz Chełmska ,3
1063,560,Przełęcz Chrośnicka ,3
1064,380,Przełęcz Dębowa ,3
1065,500,Przełęcz Dukielska ,2
1066,720,Przełęcz Dylówki ,1
1067,845,Przełęcz Glinka  ,1
1068,809,Przełęcz Glinne  ,1
1069,634,Przełęcz Glisne  ,1
1070,755,Przełęcz Graniczne / Bór ,1
1071,370,Przełęcz Grochowa ,3
1072,660,Przełęcz Gruszowiec  ,1
1073,541,Przełęcz Hałbowska ,2
1074,742,Przełęcz Huta / Krzyżówka ,2
1075,698,Przełęcz Isepnicka ,1
1076,1017,Przełęcz Jałowiecka  ,1
1077,808,Przełęcz Jugowska ,3
1078,1853,Przełęcz Karb  ,0
1079,480,Przełęcz Karpnicka ,3
1080,894,Przełęcz Klekociny  ,1
1081,483,Przełęcz Kłodzka ,3
1082,846,Przełęcz Knurowska  ,1
1083,812,Przełęcz Kolędówki ,1
1084,640,Przełęcz Komarnicka ,3
1085,1723,Przełęcz Kondracka  ,0
1086,732,Przełęcz Koniakowska ,1
1087,975,Przełęcz Kotarz  ,1
1088,720,Przełęcz Kowarska ,3
1089,653,Przełęcz Kozia ,3
1090,2113,Przełęcz Krzyżne  ,0
1091,778,Przełęcz Krzyżowa ,1
1092,550,Przełęcz L.Różyckiego ,3
1093,600,Przełęcz Łaszczkowa ,3
1094,1952,Przełęcz Liliowe  ,0
1095,516,Przełęcz Lubawska ,3
1096,641,Przełęcz Łupkowska ,2
1097,758,Przełęcz m. Sidziną a Zubrzycą ,1
1098,1099,Przełęcz M.Orłowicza ,2
1099,605,Przełęcz Małastowska ,2
1100,721,Przełęcz Marcowa ,3
1101,696,Przełęcz Marszałka Rydza-Śmigłego ,1
1102,587,Przełęcz Mazgalica ,2
1103,812,Przełęcz między Cichoniem a Ostrą ,1
1104,800,Przełęcz między Gaikami i Groniczkami ,1
1105,864,Przełęcz między Jasieniem a Kiczorą ,1
1106,1499,Przełęcz między Kopami ,0
1107,2307,Przełęcz Mięguszowiecka pod Chłopkiem  ,0
1108,580,Przełęcz nad Kobyłą ,3
1109,800,Przełęcz nad Roztokami ,2
1110,501,Przełęcz Owczarska ,2
1111,970,Przełęcz Pański Kamień ,1
1112,809,Przełęcz pod Bobrzakiem ,3
1113,510,Przełęcz pod Brzeźnikiem ,3
1114,741,Przełęcz pod Chłopkiem ,3
1115,670,Przełęcz pod Czarnochem ,3
1116,743,Przełęcz pod Gołębią ,3
1117,1132,Przełęcz pod Jaworową Kopą ,3
1118,490,Przełęcz pod Kobylnicą ,1
1119,567,Przełęcz pod Konikiem ,3
1120,711,Przełęcz pod Kopą ,3
1121,1863,Przełęcz pod Kopą Kondracką  ,0
1122,1140,Przełęcz pod Przysłopem  ,1
1123,883,Przełęcz pod Słoneczną ,3
1124,1390,Przełęcz pod Śmielcem ,3
1125,603,Przełęcz pod Średnicą ,3
1126,601,Przełęcz pod Suliłą ,2
1127,560,Przełęcz pod Świerkami ,3
1128,703,Przełęcz pod Tokarnią ,2
1129,698,Przełęcz pod Trzeboniem ,3
1130,770,Przełęcz pod Uboczem ,2
1131,1120,przełęcz pod Uszczawnem ,1
1132,587,Przełęcz pod Wawrzyniakiem ,3
1133,726,Przełęcz pod Wilkowyją ,3
1134,565,Przełęcz Pod Zajęczym Wierchem ,2
1135,508,Przełęcz pod Zamkową Górą ,3
1136,551,Przełęcz Porubska ,2
1137,990,Przełęcz Przegibek ,1
1138,870,Przełęcz Przysłop ,1
1139,1189,Przełęcz Przysłop Miętusi  ,0
1140,847,Przełęcz Przysłopy  ,1
1141,980,Przełęcz Przysłup / Caryński ,2
1142,1788,Przełęcz Pyszniańska ,0
1143,750,Przełęcz Rędzińska ,3
1144,646,Przełęcz Regetowska ,2
1145,750,Przełęcz Rudawska ,3
1146,672,Przełęcz Rupienka  ,1
1147,480,Przełęcz Sanguszki ,1
1148,711,Przełęcz Sieniawska ,1
1149,1276,Przełęcz Siodło ,2
1150,766,Przełęcz Słopnicka  ,1
1151,340,Przełęcz Słupicka ,3
1152,653,Przełęcz Snozka  ,1
1153,757,Przełęcz Sokola ,3
1154,568,Przełęcz Srebrna Schronisko ,3
1155,788,Przełęcz Staromorawska ,3
1156,700,Przełęcz Sucha ,1
1157,1001,Przełęcz Sucha ,3
1158,400,Przełęcz Św. Justa  ,1
1159,635,Przełęcz Szczycisko ,2
1160,780,Przełęcz Szopka  ,1
1161,562,Przełęcz Targanicka ,1
1162,710,Przełęcz U Panienki ,1
1163,535,Przełęcz Ulanowicka ,3
1164,1311,Przełęcz w Grzybowcu  ,0
1165,755,Przełęcz Walimska ,3
1166,535,Przełęcz Widoma  ,1
1167,532,Przełęcz Wilcza ,3
1168,711,Przełęcz Woliborska ,3
1169,610,Przełęcz Wysowska ,2
1170,872,Przełęcz Wyżnia ,2
1171,855,Przełęcz Wyżniańska ,2
1172,410,Przełęcz Zasań ,1
1173,557,Przełęcz Żdżar ,2
1174,830,Przełęcz Żebrak ,2
1175,1110,Przełęcz Żłobki ,1
1176,200,Przemyśl ,2
1177,250,Przerzeczyn-Zdrój ,3
1178,540,Przesieka ,3
1179,580,Przesieka Złoty Widok ,3
1180,521,Przyborów ,1
1181,330,Przydonica ,1
1182,570,Przykrzec ,3
1183,741,Przykrzec ,1
1184,940,Przysłop  ,1
1185,967,Przysłop pod Baranią schronisko ,1
1186,681,Przysłup ,2
1187,887,przystanek PKS Dolina Chochołowska ,0
1188,644,przystanek PKS Luboń Mały ,1
1189,434,Przyszowa ,1
1190,270,Przytkowice PKP ,1
1191,1185,Psia Trawka  ,0
1192,590,Pszczeliny / Widełki ,2
1193,668,Ptasi Szczyt ,3
1194,500,Ptaszkowa ,2
1195,902,Puchaczówka ,3
1196,400,Puławy ,2
1197,480,Puławy Górne ,2
1198,590,Purpurowe Jeziorko ,3
1199,1061,Pusta Wielka ,1
1200,500,pustelnia św. Jana ,2
1201,443,Raba Niżna ,1
1202,528,Raba Wyżna ,1
1203,1121,Rąbaniska ,1
1204,1192,Rabia Skała ,2
1205,470,Rabka Zaryte ,1
1206,486,Rabka Zaryte PKS ,1
1207,507,Rabka-Zdrój ,1
1208,954,Rachowiec  ,1
1209,286,Raciechowice ,1
1210,370,Radków ,3
1211,390,Radków - Zakłady Kamienia ,3
1212,490,Radocyna ,2
1213,540,Radocyna - dawna szkoła ,2
1214,480,Radomierz ,3
1215,572,Radunia ,3
1216,500,Radziechowy Wieprz ,1
1217,1255,Radziejowa ,1
1218,540,Radzimowice ,3
1219,230,Radziszów PKP ,1
1220,980,Rafaczańska Grapa ,0
1221,1305,Rainerova chata / Rainerowa Chatka ,0
1222,324,Rajbrot ,1
1223,360,Rajbrot-tartak ,1
1224,492,Rajcza ,1
1225,1879,Rakoń  ,0
1226,540,Raszów ,3
1227,360,Ratno Dolne ,3
1228,1060,Razcestie nad Matliarmi / Rozdroże nad Matlarami ,0
1229,970,Rázcestie pod Bystrou / Rozdroże pod Bystrą ,0
1230,1110,Rázcestie pod Grúnikom / Rozdroże pod Gronikiem ,0
1231,1080,Rázcestie pod Muráňom / Rozdroże pod Muraniem ,0
1232,1165,rázcestie pod Tomanovou / rozdroże pod Doliną To ,0
1233,1525,Rázcestie v Smutnej doline / rozdroże w Dolinie  ,0
1234,629,Rdzawka ,1
1235,420,Rębiszów ,3
1236,610,Rędziny ,3
1237,530,Regietów Niżny / baza namiotowa ,2
1238,310,Rezerwat nad Białką ,3
1239,250,Rochów ,3
1240,712,Róg ,3
1241,710,Rogacz ,3
1242,1182,Rogacz ,1
1243,490,Rogatka ,3
1244,870,Rogowiec ,3
1245,531,Rogozowa ,1
1246,1720,Roháčske plesá / Rohackie Stawy ,0
1247,393,Rojówka ,1
1248,907,Roma ,0
1249,1366,Romanka  ,1
1250,340,Ropa ,2
1251,550,Ropki ,2
1252,410,Rościszów ,3
1253,753,Rosochatka ,1
1254,280,Rososznica ,3
1255,771,Rotunda ,2
1256,1418,Rówień Waksmundzka  ,0
1257,606,Równia nad Bystrą ,1
1258,884,Równica ,1
1259,560,Różana ,3
1260,370,Różańcowa ,3
1261,628,Różanka ,3
1262,420,Rozdroże ,3
1263,490,Rozdroże Holtei ,3
1264,770,Rozdroże Izerskie ,3
1265,790,Rozdroże Kowarskie ,3
1266,650,Rozdroże nad Glinnikiem Starym ,3
1267,200,rozdroże nad Górką ,3
1268,580,rozdroże nad Kamionkami ,3
1269,550,Rozdroże nad Kowarami ,3
1270,300,rozdroże nad Sadami ,3
1271,677,Rozdroże nad Skalnymi Wrotami ,3
1272,550,Rozdroże pod Basztami ,3
1273,750,Rozdroże pod Bielcem ,3
1274,734,rozdroże pod Bobrzakiem ,3
1275,650,rozdroże pod Chochołem Małym ,3
1276,950,Rozdroże pod Cichą Równią ,3
1277,880,Rozdroże pod Działem Izerskim ,3
1278,700,rozdroże pod Grzybowcem ,3
1279,780,Rozdroże pod Hutniczą Kopą ,3
1280,1000,Rozdroże pod Izerskimi Garbami ,3
1281,1100,Rozdroże pod Jaworem ,3
1282,570,Rozdroże pod Jońską Górą ,3
1283,880,Rozdroże pod Kamienica ,3
1284,505,Rozdroże pod Kamiennym Krzyżem ,3
1285,500,Rozdroże pod Kieżną ,3
1286,680,rozdroże pod Kokotem ,3
1287,1100,Rozdroże pod Kopą Izerską ,3
1288,660,Rozdroże pod Kozią Szyją ,3
1289,741,Rozdroże pod Lelkową ,3
1290,877,Rozdroże pod Lesieńcem ,3
1291,530,rozdroże pod Leśniakiem ,3
1292,1040,rozdroże pod Łysociną ,3
1293,717,Rozdroże pod Osówką ,3
1294,355,rozdroże pod Ostrzycą ,3
1295,470,Rozdroże pod Piekiełkiem ,3
